trace,config,num_reads,num_writes,num_inst,tot_ref,read_cycles,write_cycles,inst_cycles,tot_time,avg_cyc_per_read,avg_cyc_per_write,avg_inst_per_inst,L1i_hits,L1i_miss,L1i_total,L1i_kickout,L1i_dirty_k,L1i_transfer,L1d_hits,L1d_miss,L1d_total,L1d_kickout,L1d_dirty_k,L1d_transfer,L2_hits,L2_miss,L2_total,L2_kickout,L2_dirty_k,L2_transfer,L1i_cost,L1d_cost,L2_cost,mem_cost,tot_cost
astar,All-2way,2549106849,626305991,6824587160,10000000000,24005615139,10994951788,11433827185,46434394112,9.42,17.56,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,160662256,116898852,277561108,116898340,59753876,116898852,400,400,100,75,975
astar,All-4way,2549106849,626305991,6824587160,10000000000,23126240668,11000753615,11406716641,45533710924,9.07,17.56,1.67,11394220237,94636,11394314873,94380,0,94636,4274666890,183505562,4458172452,183505306,75334151,183505562,145435283,113499066,258934349,113498554,59270555,113499066,600,600,150,75,1425
astar,All-FA,2549106849,626305991,6824587160,10000000000,18015408791,10066753018,11395359437,39477521246,7.07,16.07,1.67,11394307253,7620,11394314873,7364,0,7620,4292364560,165807892,4458172452,165807636,71377025,165807892,155431402,81761135,237192537,81760623,52330695,81761135,1800,1800,500,75,4175
astar,defaults,2549106849,626305991,6824587160,10000000000,29021325420,11433176077,11480910007,51935411504,11.38,18.25,1.68,11393011748,1303125,11394314873,1302869,0,1303125,4214841543,243330909,4458172452,243330653,94594555,243330909,198286480,140942109,339228589,140941597,65799800,140942109,200,200,50,75,525
astar,L1-2way,2549106849,626305991,6824587160,10000000000,26226244755,11378938976,11434789485,49039973216,10.29,18.17,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,145387883,132173225,277561108,132172713,62217961,132173225,400,400,50,75,925
astar,L1d-small,2549106849,626305991,6824587160,10000000000,33323479668,11712805234,11490462399,56526747301,13.07,18.70,1.68,11393011748,1303125,11394314873,1302869,0,1303125,4001371773,456800679,4458172452,456800551,179643008,456800679,501306381,136440431,637746812,136439919,65580547,136440431,200,100,50,75,425
astar,L1i-small,2549106849,626305991,6824587160,10000000000,29020269056,11432412937,11556905551,52009587544,11.38,18.25,1.69,11391567196,2747677,11394314873,2747549,0,2747677,4214841543,243330909,4458172452,243330653,94594555,243330909,199425854,141247287,340673141,141246775,65821284,141247287,100,200,50,75,425
astar,L1-small,2549106849,626305991,6824587160,10000000000,33324211848,11711340562,11569088287,56604640697,13.07,18.70,1.70,11391567196,2747677,11394314873,2747549,0,2747677,4001371773,456800679,4458172452,456800551,179643008,456800679,502425148,136766216,639191364,136765704,65606799,136766216,100,100,50,75,325
astar,L2-4way,2549106849,626305991,6824587160,10000000000,23250276263,10673496632,11432214125,45355987020,9.12,17.04,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,167431165,110129943,277561108,110129431,59206672,110129943,400,400,150,75,1025
astar,L2-Big,2549106849,626305991,6824587160,10000000000,21384221747,10091200004,11432956113,42908377864,8.39,16.11,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,178580547,98980561,277561108,98979537,53510239,98980561,400,400,50,75,925
bzip2,All-2way,1874397115,567216161,7558386724,10000000000,19599702681,18932327356,11967527423,50499557460,10.46,33.38,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,81592046,154164379,235756425,154163867,64299983,154164379,400,400,100,75,975
bzip2,All-4way,1874397115,567216161,7558386724,10000000000,19276483134,19026076053,11967495747,50270054934,10.28,33.54,1.58,11966585996,6957,11966592953,6701,0,6957,2378376456,163350880,2541727336,163350624,69948915,163350880,79767974,153538778,233306752,153538266,63631592,153538778,600,600,150,75,1425
bzip2,All-FA,1874397115,567216161,7558386724,10000000000,18285268745,16911508909,11967484275,47164261929,9.76,29.81,1.58,11966586014,6939,11966592953,6683,0,6939,2379071440,162655896,2541727336,162655640,69711198,162655896,99223380,133150653,232374033,133150141,63118740,133150653,1800,1800,500,75,4175
bzip2,defaults,1874397115,567216161,7558386724,10000000000,21168923005,18509292237,11988306327,51666521569,11.29,32.63,1.59,11965504642,1088311,11966592953,1088055,0,1088311,2360740266,180987070,2541727336,180986814,75658750,180987070,100849192,156884939,257734131,156884427,66969105,156884939,200,200,50,75,525
bzip2,L1-2way,1874397115,567216161,7558386724,10000000000,20290282521,19745481896,11967529611,52003294028,10.82,34.81,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,72343025,163413400,235756425,163412888,65263422,163413400,400,400,50,75,925
bzip2,L1d-small,1874397115,567216161,7558386724,10000000000,21179775524,17952796895,11988368687,51120941106,11.30,31.65,1.59,11965504642,1088311,11966592953,1088055,0,1088311,2336029598,205697738,2541727336,205697610,84391651,205697738,141441999,149735701,291177700,149735189,66392358,149735701,200,100,50,75,425
bzip2,L1i-small,1874397115,567216161,7558386724,10000000000,21168887421,18509339581,11990304675,51668531677,11.29,32.63,1.59,11965490130,1102823,11966592953,1102695,0,1102823,2360740266,180987070,2541727336,180986814,75658750,180987070,100852695,156895948,257748643,156895436,66969959,156895948,100,200,50,75,425
bzip2,L1-small,1874397115,567216161,7558386724,10000000000,21179555688,17952916491,11990524495,51122996674,11.30,31.65,1.59,11965490130,1102823,11966592953,1102695,0,1102823,2336029598,205697738,2541727336,205697610,84391651,205697738,141445647,149746565,291192212,149746053,66393690,149746565,100,100,50,75,325
bzip2,L2-4way,1874397115,567216161,7558386724,10000000000,19218012465,18215958176,11967539859,49401510500,10.25,32.11,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,88469976,147286449,235756425,147285937,63727745,147286449,400,400,150,75,1025
bzip2,L2-Big,1874397115,567216161,7558386724,10000000000,18767801181,18297521656,11967513511,49032836348,10.01,32.26,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,90203610,145552815,235756425,145551791,62927057,145552815,400,400,50,75,925
gobmk,All-2way,1922316435,915303047,7162380518,10000000000,13195911623,12253946255,40671067195,66120925073,6.86,13.39,5.68,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,456124049,207457396,663581445,207456884,52591470,207457396,400,400,100,75,975
gobmk,All-4way,1922316435,915303047,7162380518,10000000000,11145746026,11639084956,36957387613,59742218595,5.80,12.72,5.16,11768803275,404409158,12173212433,404408902,0,404409158,3900603297,131220942,4031824239,131220686,82611655,131220942,441968289,176273466,618241755,176272954,45735493,176273466,600,600,150,75,1425
gobmk,All-FA,1922316435,915303047,7162380518,10000000000,10177636473,11625209658,32434837313,54237683444,5.29,12.70,4.53,11768474955,404737478,12173212433,404737222,0,404737478,3914924730,116899509,4031824239,116899253,74510782,116899509,449500040,146647729,596147769,146647217,40518813,146647729,1800,1800,500,75,4175
gobmk,defaults,1922316435,915303047,7162380518,10000000000,19272524246,14663275601,43519641089,77455440936,10.03,16.02,6.08,11735764313,437448120,12173212433,437447864,0,437448120,3818513808,213310431,4031824239,213310175,118587278,213310431,512333089,257012740,769345829,257012228,67734865,257012740,200,200,50,75,525
gobmk,L1-2way,1922316435,915303047,7162380518,10000000000,15208682795,13465048175,42753772271,71427503241,7.91,14.71,5.97,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,425749513,237831932,663581445,237831420,58385376,237831932,400,400,50,75,925
gobmk,L1d-small,1922316435,915303047,7162380518,10000000000,22086107086,15349814889,46086225153,83522147128,11.49,16.77,6.43,11735764313,437448120,12173212433,437447864,0,437448120,3714997049,316827190,4031824239,316827062,163593096,316827190,645196283,272672123,917868406,272671611,75739986,272672123,200,100,50,75,425
gobmk,L1i-small,1922316435,915303047,7162380518,10000000000,19646223306,14884871989,47633738421,82164833716,10.22,16.26,6.65,11581007415,592205018,12173212433,592204890,0,592205018,3818513808,213310431,4031824239,213310175,118587278,213310431,655508270,268594457,924102727,268593945,69232540,268594457,100,200,50,75,425
gobmk,L1-small,1922316435,915303047,7162380518,10000000000,22726847026,15681654857,50826690609,89235192492,11.82,17.13,7.10,11581007415,592205018,12173212433,592204890,0,592205018,3714997049,316827190,4031824239,316827062,163593096,316827190,782748031,289877273,1072625304,289876761,78461836,289877273,100,100,50,75,325
gobmk,L2-4way,1922316435,915303047,7162380518,10000000000,12081202027,11808765751,38209645975,62099613753,6.28,12.90,5.33,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,480211579,183369866,663581445,183369354,49331778,183369866,400,400,150,75,1025
gobmk,L2-Big,1922316435,915303047,7162380518,10000000000,11418689099,10604480439,35258823739,57281993277,5.94,11.59,4.92,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,502768376,160813069,663581445,160812045,38765960,160813069,400,400,50,75,925
omnetpp,All-2way,2009285423,1237898222,6752816355,10000000000,33880472608,7825980824,33797017651,75503471083,16.86,6.32,5.00,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,453267900,250138789,703406689,250138277,60980869,250138789,400,400,100,75,975
omnetpp,All-4way,2009285423,1237898222,6752816355,10000000000,29445020301,7075879230,28104895749,64625795280,14.65,5.72,4.16,11176886229,284359860,11461246089,284359604,0,284359860,5710864475,218027141,5928891616,218026885,85447461,218027141,387962332,199872130,587834462,199871618,51135782,199872130,600,600,150,75,1425
omnetpp,All-FA,2009285423,1237898222,6752816355,10000000000,25157269567,6585593574,23816702881,55559566022,12.52,5.32,3.53,11259288301,201957788,11461246089,201957532,0,201957788,5753056729,175834887,5928891616,175834631,72136579,175834887,288582036,161347218,449929254,161346706,44738929,161347218,1800,1800,500,75,4175
omnetpp,defaults,2009285423,1237898222,6752816355,10000000000,44619155042,10153638624,42244697827,97017491493,22.21,8.20,6.26,11006133158,455112931,11461246089,455112675,0,455112931,5562301532,366590084,5928891616,366589828,162590750,366590084,643964024,340329741,984293765,340329229,83598965,340329741,200,200,50,75,525
omnetpp,L1-2way,2009285423,1237898222,6752816355,10000000000,37014442624,8446268860,36503963575,81964675059,18.42,6.82,5.41,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,414993528,288413161,703406689,288412649,66670847,288413161,400,400,50,75,925
omnetpp,L1d-small,2009285423,1237898222,6752816355,10000000000,49070242502,10633561033,44716782979,104420586514,24.42,8.59,6.62,11006133158,455112931,11461246089,455112675,0,455112931,5423480899,505410717,5928891616,505410589,217210609,505410717,814325803,363408454,1177734257,363407942,87599940,363408454,200,100,50,75,425
omnetpp,L1i-small,2009285423,1237898222,6752816355,10000000000,45635285370,10298001452,49440921283,105374208105,22.71,8.32,7.32,10791448034,669798055,11461246089,669797927,0,669798055,5562301532,366590084,5928891616,366589828,162590750,366590084,830511583,368467306,1198978889,368466794,85941999,368467306,100,200,50,75,425
omnetpp,L1-small,2009285423,1237898222,6752816355,10000000000,50670291246,10804636869,52822645763,114297573878,25.22,8.73,7.82,10791448034,669798055,11461246089,669797927,0,669798055,5423480899,505410717,5928891616,505410589,217210609,505410717,992116313,400303068,1392419381,400302556,91544599,400303068,100,100,50,75,325
omnetpp,L2-4way,2009285423,1237898222,6752816355,10000000000,31083510424,7466023388,30888515511,69438049323,15.47,6.03,4.57,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,488279575,215127114,703406689,215126602,54668770,215127114,400,400,150,75,1025
omnetpp,L2-Big,2009285423,1237898222,6752816355,10000000000,29092369548,6988619336,29748059303,65829048187,14.48,5.65,4.41,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,508143677,195263012,703406689,195261988,49889384,195263012,400,400,50,75,925
output.csvastar,All-2way,2549106849,626305991,6824587160,10000000000,24005615139,10994951788,11433827185,46434394112,9.42,17.56,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,160662256,116898852,277561108,116898340,59753876,116898852,400,400,100,75,975astar,All-4way,2549106849,626305991,6824587160,10000000000,23126240668,11000753615,11406716641,45533710924,9.07,17.56,1.67,11394220237,94636,11394314873,94380,0,94636,4274666890,183505562,4458172452,183505306,75334151,183505562,145435283,113499066,258934349,113498554,59270555,113499066,600,600,150,75,1425astar,All-FA,2549106849,626305991,6824587160,10000000000,18015408791,10066753018,11395359437,39477521246,7.07,16.07,1.67,11394307253,7620,11394314873,7364,0,7620,4292364560,165807892,4458172452,165807636,71377025,165807892,155431402,81761135,237192537,81760623,52330695,81761135,1800,1800,500,75,4175astar,defaults,2549106849,626305991,6824587160,10000000000,29021325420,11433176077,11480910007,51935411504,11.38,18.25,1.68,11393011748,1303125,11394314873,1302869,0,1303125,4214841543,243330909,4458172452,243330653,94594555,243330909,198286480,140942109,339228589,140941597,65799800,140942109,200,200,50,75,525astar,L1i-small,2549106849,626305991,6824587160,10000000000,29020269056,11432412937,11556905551,52009587544,11.38,18.25,1.69,11391567196,2747677,11394314873,2747549,0,2747677,4214841543,243330909,4458172452,243330653,94594555,243330909,199425854,141247287,340673141,141246775,65821284,141247287,100,200,50,75,425astar,L1-small,2549106849,626305991,6824587160,10000000000,33324211848,11711340562,11569088287,56604640697,13.07,18.70,1.70,11391567196,2747677,11394314873,2747549,0,2747677,4001371773,456800679,4458172452,456800551,179643008,456800679,502425148,136766216,639191364,136765704,65606799,136766216,100,100,50,75,325astar,L2-4way,2549106849,626305991,6824587160,10000000000,23250276263,10673496632,11432214125,45355987020,9.12,17.04,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,167431165,110129943,277561108,110129431,59206672,110129943,400,400,150,75,1025astar,L2-Big,2549106849,626305991,6824587160,10000000000,21384221747,10091200004,11432956113,42908377864,8.39,16.11,1.68,11393817355,497518,11394314873,497262,0,497518,4261874755,196297697,4458172452,196297441,80765893,196297697,178580547,98980561,277561108,98979537,53510239,98980561,400,400,50,75,925bzip2,All-FA,1874397115,567216161,7558386724,10000000000,18285268745,16911508909,11967484275,47164261929,9.76,29.81,1.58,11966586014,6939,11966592953,6683,0,6939,2379071440,162655896,2541727336,162655640,69711198,162655896,99223380,133150653,232374033,133150141,63118740,133150653,1800,1800,500,75,4175bzip2,defaults,1874397115,567216161,7558386724,10000000000,21168923005,18509292237,11988306327,51666521569,11.29,32.63,1.59,11965504642,1088311,11966592953,1088055,0,1088311,2360740266,180987070,2541727336,180986814,75658750,180987070,100849192,156884939,257734131,156884427,66969105,156884939,200,200,50,75,525bzip2,L1-2way,1874397115,567216161,7558386724,10000000000,20290282521,19745481896,11967529611,52003294028,10.82,34.81,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,72343025,163413400,235756425,163412888,65263422,163413400,400,400,50,75,925bzip2,L1-small,1874397115,567216161,7558386724,10000000000,21179555688,17952916491,11990524495,51122996674,11.30,31.65,1.59,11965490130,1102823,11966592953,1102695,0,1102823,2336029598,205697738,2541727336,205697610,84391651,205697738,141445647,149746565,291192212,149746053,66393690,149746565,100,100,50,75,325bzip2,L2-4way,1874397115,567216161,7558386724,10000000000,19218012465,18215958176,11967539859,49401510500,10.25,32.11,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,88469976,147286449,235756425,147285937,63727745,147286449,400,400,150,75,1025bzip2,L2-Big,1874397115,567216161,7558386724,10000000000,18767801181,18297521656,11967513511,49032836348,10.01,32.26,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,90203610,145552815,235756425,145551791,62927057,145552815,400,400,50,75,925gobmk,All-2way,1922316435,915303047,7162380518,10000000000,13195911623,12253946255,40671067195,66120925073,6.86,13.39,5.68,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,456124049,207457396,663581445,207456884,52591470,207457396,400,400,100,75,975gobmk,defaults,1922316435,915303047,7162380518,10000000000,19272524246,14663275601,43519641089,77455440936,10.03,16.02,6.08,11735764313,437448120,12173212433,437447864,0,437448120,3818513808,213310431,4031824239,213310175,118587278,213310431,512333089,257012740,769345829,257012228,67734865,257012740,200,200,50,75,525gobmk,L1-2way,1922316435,915303047,7162380518,10000000000,15208682795,13465048175,42753772271,71427503241,7.91,14.71,5.97,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,425749513,237831932,663581445,237831420,58385376,237831932,400,400,50,75,925gobmk,L1d-small,1922316435,915303047,7162380518,10000000000,22086107086,15349814889,46086225153,83522147128,11.49,16.77,6.43,11735764313,437448120,12173212433,437447864,0,437448120,3714997049,316827190,4031824239,316827062,163593096,316827190,645196283,272672123,917868406,272671611,75739986,272672123,200,100,50,75,425gobmk,L1i-small,1922316435,915303047,7162380518,10000000000,19646223306,14884871989,47633738421,82164833716,10.22,16.26,6.65,11581007415,592205018,12173212433,592204890,0,592205018,3818513808,213310431,4031824239,213310175,118587278,213310431,655508270,268594457,924102727,268593945,69232540,268594457,100,200,50,75,425gobmk,L2-Big,1922316435,915303047,7162380518,10000000000,11418689099,10604480439,35258823739,57281993277,5.94,11.59,4.92,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,502768376,160813069,663581445,160812045,38765960,160813069,400,400,50,75,925omnetpp,All-2way,2009285423,1237898222,6752816355,10000000000,33880472608,7825980824,33797017651,75503471083,16.86,6.32,5.00,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,453267900,250138789,703406689,250138277,60980869,250138789,400,400,100,75,975omnetpp,All-4way,2009285423,1237898222,6752816355,10000000000,29445020301,7075879230,28104895749,64625795280,14.65,5.72,4.16,11176886229,284359860,11461246089,284359604,0,284359860,5710864475,218027141,5928891616,218026885,85447461,218027141,387962332,199872130,587834462,199871618,51135782,199872130,600,600,150,75,1425omnetpp,All-FA,2009285423,1237898222,6752816355,10000000000,25157269567,6585593574,23816702881,55559566022,12.52,5.32,3.53,11259288301,201957788,11461246089,201957532,0,201957788,5753056729,175834887,5928891616,175834631,72136579,175834887,288582036,161347218,449929254,161346706,44738929,161347218,1800,1800,500,75,4175omnetpp,L1d-small,2009285423,1237898222,6752816355,10000000000,49070242502,10633561033,44716782979,104420586514,24.42,8.59,6.62,11006133158,455112931,11461246089,455112675,0,455112931,5423480899,505410717,5928891616,505410589,217210609,505410717,814325803,363408454,1177734257,363407942,87599940,363408454,200,100,50,75,425omnetpp,L1i-small,2009285423,1237898222,6752816355,10000000000,45635285370,10298001452,49440921283,105374208105,22.71,8.32,7.32,10791448034,669798055,11461246089,669797927,0,669798055,5562301532,366590084,5928891616,366589828,162590750,366590084,830511583,368467306,1198978889,368466794,85941999,368467306,100,200,50,75,425omnetpp,L1-small,2009285423,1237898222,6752816355,10000000000,50670291246,10804636869,52822645763,114297573878,25.22,8.73,7.82,10791448034,669798055,11461246089,669797927,0,669798055,5423480899,505410717,5928891616,505410589,217210609,505410717,992116313,400303068,1392419381,400302556,91544599,400303068,100,100,50,75,325omnetpp,L2-4way,2009285423,1237898222,6752816355,10000000000,31083510424,7466023388,30888515511,69438049323,15.47,6.03,4.57,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,488279575,215127114,703406689,215126602,54668770,215127114,400,400,150,75,1025omnetpp,L2-Big,2009285423,1237898222,6752816355,10000000000,29092369548,6988619336,29748059303,65829048187,14.48,5.65,4.41,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,508143677,195263012,703406689,195261988,49889384,195263012,400,400,50,75,925
sjeng,All-2way,1892411647,751653128,7355935225,10000000000,9520499188,9174094220,24301290801,42995884209,5.03,12.21,3.30,12325337739,219027066,12544364805,219026810,0,219027066,3258299627,130955656,3389255283,130955400,68155533,130955656,315765967,102372288,418138255,102371776,31805946,102372288,400,400,100,75,975
sjeng,All-4way,1892411647,751653128,7355935225,10000000000,8636165396,8263103150,22497704605,39396973151,4.56,10.99,3.06,12328177413,216187392,12544364805,216187136,0,216187392,3282438507,106816776,3389255283,106816520,58561243,106816776,296123400,85442011,381565411,85441499,28630852,85442011,600,600,150,75,1425
sjeng,All-FA,1892411647,751653128,7355935225,10000000000,6396180212,7411519539,19917359973,33725059724,3.38,9.86,2.71,12299225417,245139388,12544364805,245139132,0,245139388,3309920012,79335271,3389255283,79335015,50696226,79335271,321413336,53757549,375170885,53757037,22378162,53757549,1800,1800,500,75,4175
sjeng,defaults,1892411647,751653128,7355935225,10000000000,14199767107,9870999338,27353035169,51423801614,7.50,13.13,3.72,12312377087,231987718,12544364805,231987462,0,231987718,3191666517,197588766,3389255283,197588510,89091858,197588766,377266166,141402176,518668342,141401664,37969437,141402176,200,200,50,75,525
sjeng,L1-2way,1892411647,751653128,7355935225,10000000000,11021885908,9401105392,25870705805,46293697105,5.82,12.51,3.52,12325337739,219027066,12544364805,219026810,0,219027066,3258299627,130955656,3389255283,130955400,68155533,130955656,295456405,122681850,418138255,122681338,33891644,122681850,400,400,50,75,925
sjeng,L1d-small,1892411647,751653128,7355935225,10000000000,18132505667,10391215163,28612202985,57135923815,9.58,13.82,3.89,12312377087,231987718,12544364805,231987462,0,231987718,3056012220,333243063,3389255283,333242935,135165653,333243063,545066603,155329831,700396434,155329319,41010847,155329831,200,100,50,75,425
sjeng,L1i-small,1892411647,751653128,7355935225,10000000000,14970807155,9933734882,30981863599,55886405636,7.91,13.22,4.21,12181186946,363177859,12544364805,363177731,0,363177859,3191666517,197588766,3389255283,197588510,89091858,197588766,495160049,154698434,649858483,154697922,38921832,154698434,100,200,50,75,425
sjeng,L1-small,1892411647,751653128,7355935225,10000000000,19225396703,10510471755,32761006671,62496875129,10.16,13.98,4.45,12181186946,363177859,12544364805,363177731,0,363177859,3056012220,333243063,3389255283,333242935,135165653,333243063,657535007,174051568,831586575,174051056,42644502,174051568,100,100,50,75,325
sjeng,L2-4way,1892411647,751653128,7355935225,10000000000,8932406336,8546934100,22841733881,40321074317,4.72,11.37,3.11,12325337739,219027066,12544364805,219026810,0,219027066,3258299627,130955656,3389255283,130955400,68155533,130955656,331323921,86814334,418138255,86813822,29147141,86814334,400,400,150,75,1025
sjeng,L2-Big,1892411647,751653128,7355935225,10000000000,8246650988,8075076680,21396288609,37718016277,4.36,10.74,2.91,12325337739,219027066,12544364805,219026810,0,219027066,3258299627,130955656,3389255283,130955400,68155533,130955656,345209116,72929139,418138255,72928115,25232504,72929139,400,400,50,75,925
